"Property ID","Property Type","Full Address","Address 1","Address 2",City,ZIP,State,Status,Specialist,"Sale Date",Price,"Down 1","Better price","Down 2","Best price","Down 3","Monthly Lease",Beds,Baths,Sq.Ft,Lot,Garage,"Year Built","Property Shown",County,Subdivision,"Date Inspected"
191004,Commercial,"Address:
      
        2759 Main Hwy
              
        Locality:
    
                     29003 SC
            United States","2759 Main Hwy",,Bamberg,29003,SC,Available,,,"164,999","13,999","163,500","15,999","162,999",17999.00,,,,"3,500",,,1960,✔,Bamberg,"MID TOWN PLAZA",2023-02-07
133063,Residential,"Address:
      
        5368 SAVANNAH HIGHWAY 
              
        Locality:
    
                     29112 SC
            United States","5368 SAVANNAH HIGHWAY",,North,29112,SC,Available,,,"109,900","5,500","107,900","6,999","105,900",7999.00,,2,1,768,121968,0.00,1965,✔,Orangeburg,,2023-04-20
160022,Residential,"Address:
      
        14201 Fairington Ridge Cir.
              
        Locality:
    
                     30038 GA
            United States","14201 Fairington Ridge Cir.",,Lithonia,30038,GA,Sold,"Martha L Cortes","Monday, August 07, 2023","159,999","7,900","158,500","9,900","157,500",11900.00,,3,2,"1,292",,,2006,✔,Dekalb,,2023-04-24
133023,Residential,"Address:
      
        1359 ROGERS TRACE
              
        Locality:
    
                     30058 GA
            United States","1359 ROGERS TRACE",,Lithonia,30058,GA,Sold,"Vincent Bohne","Monday, August 07, 2023","200,999","16,999","199,999","18,999","198,999",21900.00,,3,2+,"1,568",2178,1.00,2005,✔,DeKalb,,
171031,Commercial,"Address:
      
        6287 MEMORIAL DRIVE
              
        Locality:
    
                     30083 GA
            United States","6287 MEMORIAL DRIVE",,"Stone Mountain",30083,GA,Sold,"Antone Means","Thursday, June 01, 2023","484,000","33,530","480,000","42,750","474,999",56399.00,,,,"5,600",,,1984,✔,DeKalb,,2023-03-02
66003,"Residential, Land","Address:
      
        1197 To Lani Ct
              
        Locality:
    
                     30083 GA
            United States","1197 To Lani Ct",,"Stone Mountain",30083,GA,Available,"Gabriela Espinoza","Wednesday, September 20, 2023","109,999","2,900","108,999","4,500","107,777",6500.00,,2,2,"1,498",5663,2.00,1988,✔,Dekalb,,2023-06-21
,Land,"Address:
      
        825 S Hairston Rd
              
        Locality:
    
                     30088 GA
            United States","825 S Hairston Rd",,"Stone Mountain",30088,GA,Available,,,"154,900","9,500","146,500","13,500","142,500",16500.00,,,,,48351,,,✔,DeKalb,,2023-04-24
149018,Land,"Address:
      
        438 Fieldcrest Dr
              
        Locality:
    
                     30132 GA
            United States","438 Fieldcrest Dr",,Dallas,30132,GA,Available,,,"68,999","1,999","67,999","3,500","66,999",4999.00,,,,,8712,,,✔,Paulding,,2023-07-21
149015,Land,"Address:
      
        37 Fielcrest Way
              
        Locality:
    
                     30132 GA
            United States","37 Fielcrest Way",,Dallas,30132,GA,Available,,,,,,,,,,,,,11325,,,✔,Paulding,Fieldcrest,2023-07-21
149016,Land,"Address:
      
        36 Fieldcrest Way
              
        Locality:
    
                     30132 GA
            United States","36 Fieldcrest Way",,Dallas,30132,GA,Available,,,"53,999",499,"52,999","1,499","51,999",2999.00,,,,,8276,,,✔,Paulding,Fieldcrest,2023-07-21
